"cell","arm","endpoint","n","truth","median_diff","lo","hi","rel_median_diff","abs_err_avg","abs_err_sgl","coverage_avg","coverage_sgl","width_avg","width_sgl"
"d4.0_t2.0_R2.3_s8.1","A","ErC10",200,2.01968716248917,-0.499451957396127,-0.601192170939783,-0.406960854174622,-0.247291742341213,0.262356201280572,0.348085079981362,1,0.875,1.99780782958451,1.44286121025548
"d4.0_t2.0_R73.0_s8.1","A","ErC10",200,2.01968716248917,0,0,0,0,0.0369964412886021,0.0336153290282448,0.995,0.98,0.36996441288602,0.277473309664515
"d8.0_t2.0_R2.3_s8.1","A","ErC10",200,1.69802987177516,-0.186857905755602,-0.197849547270637,-0.153882981210496,-0.110043944963263,0.115233493610057,0.181540827295899,1,0.835,1.19286789541922,0.681481773932195
"d4.0_t2.0_R2.3_s8.1","B3","ErC10",200,2.01968716248917,-0.513325622879353,-0.536448398684729,-0.480953736751826,-0.254160957406247,0.22535975999197,0.348085079981362,0.965,0.7,1.49835587218838,1.07289679736946
"d4.0_t2.0_R73.0_s8.1","B3","ErC10",200,2.01968716248917,-0.351466192241719,-0.388462633530321,-0.332967971597418,-0.174020114980854,0.0773739948375616,0.301839528370609,0.995,0,0.591943060617632,0.277473309664515
"d8.0_t2.0_R2.3_s8.1","B3","ErC10",200,1.69802987177516,-0.208841188785673,-0.241816113330779,-0.181362084998084,-0.122990291429529,0.126582619720722,0.20352411032597,0.98,0.65,0.912306245747939,0.516607151206664
"d4.0_t2.0_R2.3_s8.1","C","ErC10",200,2.01968716248917,-0.231227758053763,-0.277473309664515,-0.18498220644301,-0.114486917750562,0.212729537409462,0.218597535471255,0.995,0.91,1.67408896830924,1.09162624577181
"d4.0_t2.0_R73.0_s8.1","C","ErC10",200,2.01968716248917,-0.018498220644301,-0.018498220644301,-0.0184982206443007,-0.00915895342004491,0.0336153290282448,0.0336153290282448,0.975,0.95,0.258975089020214,0.221978647731613
"d8.0_t2.0_R2.3_s8.1","C","ErC10",200,1.69802987177516,-0.0659498490902124,-0.0769414906052477,-0.0549582075751771,-0.0388390393987987,0.0936076951756162,0.115412235907872,0.99,0.925,0.967264453323116,0.615531924841983
"d4.0_t2.0_R2.3_s8.1","E","ErC10",200,2.01968716248917,-0.147985765154408,-0.18498220644301,-0.092491103221505,-0.0732716273603595,0.221978647731612,0.212729537409462,0.985,0.91,1.66483985798709,1.21186467995977
"d4.0_t2.0_R73.0_s8.1","E","ErC10",200,2.01968716248917,-0.0554946619329031,-0.0554946619329031,-0.0369964412886019,-0.0274768602601348,0.200099314826954,0.255593976759857,0.545,0.14,0.425459074818923,0.351466192241719
"d8.0_t2.0_R2.3_s8.1","E","ErC10",200,1.69802987177516,-0.0439665660601416,-0.0659498490902124,0,-0.0258926929325325,0.159378801968013,0.0936076951756162,0.965,0.98,1.12114743453361,0.676123348693616
"d4.0_t2.0_R2.3_s8.1","F","ErC10",200,2.01968716248917,-1.14688967994666,-1.33187188638967,-1.05439857672516,-0.567855112042786,0.586075062555839,0.819789706411038,0.995,0.655,3.7551387907931,2.07180071216171
"d4.0_t2.0_R73.0_s8.1","F","ErC10",200,2.01968716248917,-0.776925267060643,-0.795423487704944,-0.776925267060642,-0.384676043641887,0.484334849012184,0.292590418048459,0.5,0.985,0.694145729677393,1.48032010706019
"d8.0_t2.0_R2.3_s8.1","F","ErC10",200,1.69802987177516,-0.428674019086381,-0.461648943631487,-0.395699094541275,-0.252453756092192,0.335066323910765,0.170370443483049,0.985,0.9,2.70957702897517,1.08817250998851
"d4.0_t2.0_R2.3_s8.1","A","ErC50",200,5.0532895646328,0.0369964412886024,0.0184982206443012,0.0554946619329035,0.00732125891766322,0.237201539637288,0.200205098348686,0.975,0.93,1.46135943089978,1.09139501801376
"d4.0_t2.0_R73.0_s8.1","A","ErC50",200,5.0532895646328,0,0,0,0,0.0522193331942775,0.0522193331942775,0.895,0.865,0.277473309664515,0.221978647731612
"d8.0_t2.0_R2.3_s8.1","A","ErC50",200,3.33617149040127,0.0769414906052477,0.0659498490902126,0.0769414906052481,0.023062810418056,0.104212303804818,0.0936372434658197,0.935,0.925,0.626523566357018,0.494623868176594
"d4.0_t2.0_R2.3_s8.1","B3","ErC50",200,5.0532895646328,0.203480427087311,0.18498220644301,0.203480427087311,0.0402669240471473,0.299246859047441,0.428734403557549,0.8,0.585,1.05439857672516,0.915893149650954
"d4.0_t2.0_R73.0_s8.1","B3","ErC50",200,5.0532895646328,0.35146619224172,0.332967971597419,0.36996441288602,0.0695519597178,0.151261093893034,0.521225506779054,0.585,0,0.332967971597419,0.314700978711171
"d8.0_t2.0_R2.3_s8.1","B3","ErC50",200,3.33617149040127,0.14289133969546,0.131899698180425,0.153882981210496,0.0428309336335326,0.148178869864959,0.269503507706387,0.8,0.48,0.560711112785744,0.483632226661558
"d4.0_t2.0_R2.3_s8.1","C","ErC50",200,5.0532895646328,0.0554946619329035,0.0554946619329026,0.0739928825772038,0.0109818883764948,0.243752197114539,0.248376752275614,0.88,0.815,1.16538790059096,1.03590035608086
"d4.0_t2.0_R73.0_s8.1","C","ErC50",200,5.0532895646328,0.0369964412886024,0.0369964412886015,0.0554946619329026,0.00732125891766322,0.0554946619329026,0.0587699906715278,0.97,0.765,0.295971530308816,0.221978647731611
"d8.0_t2.0_R2.3_s8.1","C","ErC50",200,3.33617149040127,0.0549582075751771,0.0549582075751769,0.0549582075751771,0.0164734360128972,0.104628884980855,0.112664325529113,0.885,0.825,0.571565358781841,0.505615509691629
"d4.0_t2.0_R2.3_s8.1","E","ErC50",200,5.0532895646328,0.277473309664515,0.240476868375913,0.332967971597418,0.0549094418824736,0.345492410658194,0.567471058389806,0.875,0.595,1.47985765154408,1.12839145930236
"d4.0_t2.0_R73.0_s8.1","E","ErC50",200,5.0532895646328,0.443957295463225,0.443957295463224,0.443957295463225,0.0878551070119579,0.299246859047441,0.743204154510665,0.655,0,0.610441281261934,0.407423309690731
"d8.0_t2.0_R2.3_s8.1","E","ErC50",200,3.33617149040127,0.164874622725531,0.131899698180425,0.178614174619325,0.0494203080386914,0.19235372651312,0.340949177554117,0.865,0.46,0.81338147211262,0.604540283326948
"d4.0_t2.0_R2.3_s8.1","F","ErC50",200,5.0532895646328,0.406960854174622,0.157234875476559,0.573444839973331,0.0805338480942946,0.388462633530321,0.502727286134752,0.93,0.88,3.14469750953117,1.8683202850744
"d4.0_t2.0_R73.0_s8.1","F","ErC50",200,5.0532895646328,0.832419928993545,0.832419928993545,0.832419928993546,0.164728325647421,0.0707175538385787,0.798698816443569,0.95,0.125,0.53644839868473,1.33187188638967
"d8.0_t2.0_R2.3_s8.1","F","ErC50",200,3.33617149040127,0.582557000296877,0.549582075751771,0.604540283326948,0.17461842173671,0.181153794410065,0.467353054977024,0.885,0.545,1.66564587608468,0.978256094838152
"d4.0_t2.0_R2.3_s8.1","A","NSEC",200,1.3,-0.577155173790835,-0.64706857627062,-0.462789751897588,-0.443965518300642,0.425065433712265,0.832059220329317,1,0.09,2.3593088674085,1.42161997784985
"d4.0_t2.0_R73.0_s8.1","A","NSEC",200,1.3,-0.029834294490769,-0.0322828594924243,-0.0270247482323442,-0.0229494573005916,0.094490438520757,0.124464385224233,0.975,0.58,0.638390861320894,0.301808918116832
"d8.0_t2.0_R2.3_s8.1","A","NSEC",200,1.3,-0.235306764833114,-0.253501557626116,-0.213706448914917,-0.18100520371778,0.185687203863774,0.407149041940019,0.99,0.335,1.49868953770249,0.699668859986507
"d4.0_t2.0_R2.3_s8.1","B3","NSEC",200,1.3,-0.992060732951079,-1.05240617532174,-0.933076248571982,-0.7631236407316,0.256119043662059,0.847516636247271,0.98,0.075,1.94277158657705,1.13492319865074
"d4.0_t2.0_R73.0_s8.1","B3","NSEC",200,1.3,-1.48782581127295,-1.53801051912604,-1.46282324528438,-1.14448139328689,0.829009810044697,0.686284557668958,0.015,0,0.794780468393355,0.302284363426749
"d8.0_t2.0_R2.3_s8.1","B3","NSEC",200,1.3,-0.618373879510104,-0.665953717027658,-0.555449083023362,-0.475672215007772,0.226114666129232,0.480400730755816,0.985,0.095,1.41455572584447,0.582819410486177
"d4.0_t2.0_R2.3_s8.1","C","NSEC",200,1.3,-0.319129131002722,-0.399971369624253,-0.246788081084309,-0.245483946925171,0.374992315832268,0.600637300201619,0.985,0.345,2.02353915405489,1.16835047518223
"d4.0_t2.0_R73.0_s8.1","C","NSEC",200,1.3,-0.0776699650550988,-0.0827196932880759,-0.0732143061108648,-0.0597461269654606,0.056077289558476,0.120976468524247,0.995,0.485,0.604679177076307,0.273865088540389
"d8.0_t2.0_R2.3_s8.1","C","NSEC",200,1.3,-0.114830992966886,-0.126679556988827,-0.101389935660606,-0.0883315330514507,0.176117875534026,0.260982560969848,0.995,0.615,1.36387859159704,0.67462713558019
"d4.0_t2.0_R2.3_s8.1","E","NSEC",200,1.3,-0.566704090013558,-0.652332770513306,-0.511897547906712,-0.435926223087352,0.260968659908697,0.720509602854909,0.99,0.215,2.09592564741947,1.28500839512494
"d4.0_t2.0_R73.0_s8.1","E","NSEC",200,1.3,-1.18110757816438,-1.20071212933834,-1.15436305115682,-0.908544290895678,0.535328378950062,0.659298915239297,0.295,0,0.900461310887583,0.37905513437585
"d8.0_t2.0_R2.3_s8.1","E","NSEC",200,1.3,-0.349575292692228,-0.428612614470825,-0.279830191503527,-0.268904071301713,0.224115558882346,0.36718205538959,0.965,0.505,1.5653376167435,0.718998348648715
"d4.0_t2.0_R2.3_s8.1","F","NSEC",200,1.3,-0.924743174888272,-0.988826209624033,-0.880970093426098,-0.711340903760209,0.950639161056444,1.80954539194426,0.945,0,4.07156273329114,1.91351125800205
"d4.0_t2.0_R73.0_s8.1","F","NSEC",200,1.3,-1.84038315405532,-1.85556382482341,-1.82157174871889,-1.41567934927332,0.748356920424748,1.10232191125707,0.545,0,1.72882081069657,1.33577988995585
"d8.0_t2.0_R2.3_s8.1","F","NSEC",200,1.3,-0.533716913178978,-0.601387858624297,-0.474236512567981,-0.410551471676137,0.297839443493926,0.623515982579719,0.98,0.22,3.06887622264207,1.01268058740628
