"cell","arm","model","wi"
"d4.0_t2.0_R2.3_s8.1","A","neclin",0.276564201428215
"d4.0_t2.0_R2.3_s8.1","A","nec4param",0.270609062246107
"d4.0_t2.0_R2.3_s8.1","A","ecxlin",0.129333501605366
"d4.0_t2.0_R2.3_s8.1","A","ecxll5",0.0806057602903846
"d4.0_t2.0_R2.3_s8.1","A","ecxwb1",0.0626200309698778
"d4.0_t2.0_R2.3_s8.1","A","ecx4param",0.0614722990647449
"d4.0_t2.0_R2.3_s8.1","A","ecxll4",0.059535787413418
"d4.0_t2.0_R2.3_s8.1","A","ecxwb2",0.0592593569818861
"d4.0_t2.0_R2.3_s8.1","B3","ecxwb2",0.214700653020611
"d4.0_t2.0_R2.3_s8.1","B3","nec4param",0.213287313977042
"d4.0_t2.0_R2.3_s8.1","B3","ecxwb1",0.165197776491817
"d4.0_t2.0_R2.3_s8.1","B3","ecxll4",0.160565413954175
"d4.0_t2.0_R2.3_s8.1","B3","ecx4param",0.154452262849481
"d4.0_t2.0_R2.3_s8.1","B3","ecxll5",0.0917965797068743
"d4.0_t2.0_R2.3_s8.1","C","nec4param",0.329229910658249
"d4.0_t2.0_R2.3_s8.1","C","neclin",0.222180318238644
"d4.0_t2.0_R2.3_s8.1","C","ecxlin",0.0874016556562021
"d4.0_t2.0_R2.3_s8.1","C","ecxwb2",0.0828682862238336
"d4.0_t2.0_R2.3_s8.1","C","ecxll4",0.0710813014053447
"d4.0_t2.0_R2.3_s8.1","C","ecxll5",0.0708068441306931
"d4.0_t2.0_R2.3_s8.1","C","ecx4param",0.0689827940674253
"d4.0_t2.0_R2.3_s8.1","C","ecxwb1",0.0674488896196086
"d4.0_t2.0_R2.3_s8.1","E","ecxwb1",0.257000639790442
"d4.0_t2.0_R2.3_s8.1","E","ecx4param",0.16067293663799
"d4.0_t2.0_R2.3_s8.1","E","ecxll4",0.160663512369649
"d4.0_t2.0_R2.3_s8.1","E","ecxwb2",0.142170442126191
"d4.0_t2.0_R2.3_s8.1","E","nec4param",0.085768210278737
"d4.0_t2.0_R2.3_s8.1","E","ecxll5",0.0711014502772105
"d4.0_t2.0_R2.3_s8.1","E","nec3param",0.0666722026267504
"d4.0_t2.0_R2.3_s8.1","E","ecxexp",0.022372909265999
"d4.0_t2.0_R2.3_s8.1","E","ecxwb2p3",0.0174818682973122
"d4.0_t2.0_R2.3_s8.1","E","ecxsigm",0.0103241087638883
"d4.0_t2.0_R2.3_s8.1","E","ecxll3",0.00557964117715568
"d4.0_t2.0_R2.3_s8.1","E","ecxwb1p3",0.000192078388674771
"d4.0_t2.0_R2.3_s8.1","F","ecxwb1",0.397959162298289
"d4.0_t2.0_R2.3_s8.1","F","nec3param",0.0889111787091565
"d4.0_t2.0_R2.3_s8.1","F","ecxll3",0.0710037881473758
"d4.0_t2.0_R2.3_s8.1","F","ecxll4",0.0624246297590973
"d4.0_t2.0_R2.3_s8.1","F","ecxwb2p3",0.0617829622531103
"d4.0_t2.0_R2.3_s8.1","F","ecx4param",0.0591875447571185
"d4.0_t2.0_R2.3_s8.1","F","ecxwb2",0.0509380608751547
"d4.0_t2.0_R2.3_s8.1","F","ecxwb1p3",0.0498087248488633
"d4.0_t2.0_R2.3_s8.1","F","ecxll5",0.0444353684124195
"d4.0_t2.0_R2.3_s8.1","F","nec4param",0.0439765049355559
"d4.0_t2.0_R2.3_s8.1","F","ecxsigm",0.0384760849832344
"d4.0_t2.0_R2.3_s8.1","F","ecxexp",0.0310959900206246
"d4.0_t2.0_R73.0_s8.1","A","nec4param",0.616822235678862
"d4.0_t2.0_R73.0_s8.1","A","ecxll5",0.335113650971362
"d4.0_t2.0_R73.0_s8.1","A","neclin",0.0335069268387245
"d4.0_t2.0_R73.0_s8.1","A","ecxwb2",0.0109645052401179
"d4.0_t2.0_R73.0_s8.1","A","ecx4param",0.00148461304543718
"d4.0_t2.0_R73.0_s8.1","A","ecxll4",0.00124090123822097
"d4.0_t2.0_R73.0_s8.1","A","ecxwb1",0.000584017250090056
"d4.0_t2.0_R73.0_s8.1","A","ecxlin",0.000283149737185208
"d4.0_t2.0_R73.0_s8.1","B3","ecxwb2",0.502956750871364
"d4.0_t2.0_R73.0_s8.1","B3","ecxll4",0.184357872758502
"d4.0_t2.0_R73.0_s8.1","B3","ecx4param",0.182538422799904
"d4.0_t2.0_R73.0_s8.1","B3","ecxwb1",0.0755220653586708
"d4.0_t2.0_R73.0_s8.1","B3","ecxll5",0.0536402853742013
"d4.0_t2.0_R73.0_s8.1","B3","nec4param",0.000984602837358008
"d4.0_t2.0_R73.0_s8.1","C","neclin",0.408424706604533
"d4.0_t2.0_R73.0_s8.1","C","nec4param",0.359234212030119
"d4.0_t2.0_R73.0_s8.1","C","ecxll5",0.197983786445507
"d4.0_t2.0_R73.0_s8.1","C","ecxwb2",0.029613204272347
"d4.0_t2.0_R73.0_s8.1","C","ecxll4",0.00177229204422354
"d4.0_t2.0_R73.0_s8.1","C","ecx4param",0.00162526321698569
"d4.0_t2.0_R73.0_s8.1","C","ecxwb1",0.000980789758561356
"d4.0_t2.0_R73.0_s8.1","C","ecxlin",0.000365745627724075
"d4.0_t2.0_R73.0_s8.1","E","ecxwb2",0.700057175247331
"d4.0_t2.0_R73.0_s8.1","E","ecx4param",0.0954613565993073
"d4.0_t2.0_R73.0_s8.1","E","ecxll4",0.0948779167186048
"d4.0_t2.0_R73.0_s8.1","E","ecxll5",0.0533863437736962
"d4.0_t2.0_R73.0_s8.1","E","ecxwb2p3",0.0419484370935863
"d4.0_t2.0_R73.0_s8.1","E","nec4param",0.00653143599017913
"d4.0_t2.0_R73.0_s8.1","E","nec3param",0.0057866699083132
"d4.0_t2.0_R73.0_s8.1","E","ecxsigm",0.00147089456744899
"d4.0_t2.0_R73.0_s8.1","E","ecxwb1",0.000376163069382226
"d4.0_t2.0_R73.0_s8.1","E","ecxll3",5.39654850738977e-05
"d4.0_t2.0_R73.0_s8.1","E","ecxexp",4.96415470762815e-05
"d4.0_t2.0_R73.0_s8.1","E","ecxwb1p3",2.4205294682987e-16
"d4.0_t2.0_R73.0_s8.1","F","ecxwb1",0.77769900938181
"d4.0_t2.0_R73.0_s8.1","F","ecxll5",0.180367887980141
"d4.0_t2.0_R73.0_s8.1","F","ecx4param",0.0183878808586862
"d4.0_t2.0_R73.0_s8.1","F","ecxll4",0.0183085467428723
"d4.0_t2.0_R73.0_s8.1","F","nec4param",0.00224153766653887
"d4.0_t2.0_R73.0_s8.1","F","ecxwb2",0.00166961204431972
"d4.0_t2.0_R73.0_s8.1","F","nec3param",0.00103070677386718
"d4.0_t2.0_R73.0_s8.1","F","ecxwb2p3",0.000173089558660731
"d4.0_t2.0_R73.0_s8.1","F","ecxll3",8.35173880593786e-05
"d4.0_t2.0_R73.0_s8.1","F","ecxexp",3.27922740200563e-05
"d4.0_t2.0_R73.0_s8.1","F","ecxsigm",5.41929351729225e-06
"d4.0_t2.0_R73.0_s8.1","F","ecxwb1p3",3.75072812511384e-11
"d8.0_t2.0_R2.3_s8.1","A","neclin",0.447640829287388
"d8.0_t2.0_R2.3_s8.1","A","nec4param",0.283640615519691
"d8.0_t2.0_R2.3_s8.1","A","ecxll5",0.104715577337406
"d8.0_t2.0_R2.3_s8.1","A","ecxwb2",0.0662212112222081
"d8.0_t2.0_R2.3_s8.1","A","ecxll4",0.0301966361414748
"d8.0_t2.0_R2.3_s8.1","A","ecx4param",0.0301785492004066
"d8.0_t2.0_R2.3_s8.1","A","ecxwb1",0.0236712381611662
"d8.0_t2.0_R2.3_s8.1","A","ecxlin",0.013735343130259
"d8.0_t2.0_R2.3_s8.1","B3","ecxwb2",0.266847621694616
"d8.0_t2.0_R2.3_s8.1","B3","nec4param",0.202895027464207
"d8.0_t2.0_R2.3_s8.1","B3","ecxll4",0.160901304304374
"d8.0_t2.0_R2.3_s8.1","B3","ecx4param",0.15938812923136
"d8.0_t2.0_R2.3_s8.1","B3","ecxwb1",0.122631136251405
"d8.0_t2.0_R2.3_s8.1","B3","ecxll5",0.0873367810540377
"d8.0_t2.0_R2.3_s8.1","C","nec4param",0.328040322728957
