"dataset","endpoint","arm","ratio_to_A","A_inside_arm_interval","arm_inside_A_interval","width_ratio"
"c_proliferum","ErC10","B1",1.69469875685364,FALSE,TRUE,0.740384615384615
"c_proliferum","ErC10","B2",0.561242890408229,TRUE,TRUE,0.826923076923077
"c_proliferum","ErC10","B3",1.84095112671756,FALSE,FALSE,0.673076923076923
"c_proliferum","ErC10","C",1.58500947945569,FALSE,TRUE,0.682692307692308
"c_proliferum","ErC10","C2",1.59719717694435,FALSE,TRUE,0.682692307692308
"c_proliferum","ErC10","D",1.54516773243254,FALSE,TRUE,0.629713216430052
"c_proliferum","ErC10","SQ",1.80438803425158,FALSE,TRUE,0.509615384615384
"c_proliferum2","ErC10","B1",0.89698584787409,FALSE,FALSE,1.56666666666667
"c_proliferum2","ErC10","B2",0.973292627226616,TRUE,TRUE,13.3666666666667
"c_proliferum2","ErC10","B3",0.919877881679848,FALSE,FALSE,1.5
"c_proliferum2","ErC10","C",0.813048390586312,FALSE,FALSE,1.06666666666667
"c_proliferum2","ErC10","C2",0.809233051618686,FALSE,FALSE,1.06666666666667
"c_proliferum2","ErC10","D",0.804696159897006,FALSE,FALSE,1.13384338433843
"c_proliferum2","ErC10","SQ",0.83594042439207,TRUE,FALSE,2.23333333333333
"r_salina","ErC10","A_raw_dropped",1,TRUE,TRUE,2.33333333333331
"r_salina","ErC10","B1",0.967219825621241,TRUE,FALSE,6.3333333333333
"r_salina","ErC10","B2",0.192788205923059,FALSE,FALSE,28.6666666666665
"r_salina","ErC10","B3",0.971317347418586,TRUE,FALSE,5.66666666666664
"r_salina","ErC10","C",0.975414869215931,TRUE,FALSE,4.99999999999998
"r_salina","ErC10","C2",1,TRUE,TRUE,82.9999999999996
"r_salina","ErC10","D",0.573771680815775,FALSE,FALSE,5.08257079520641
"r_salina","ErC10","SQ",0.946732216634517,TRUE,FALSE,9.99999999999996
"r_salina2","ErC10","A_raw_dropped",1.07141583122699,TRUE,TRUE,1
"r_salina2","ErC10","B1",1.55347269200919,FALSE,FALSE,0.458333333333333
"r_salina2","ErC10","B2",1.01785395780675,TRUE,TRUE,5.45833333333333
"r_salina2","ErC10","B3",1.55347269200919,FALSE,FALSE,0.458333333333333
"r_salina2","ErC10","C",1.17853957806748,FALSE,TRUE,0.791666666666667
"r_salina2","ErC10","C2",1.17853957806748,FALSE,TRUE,0.791666666666667
"r_salina2","ErC10","D",1.55341055961469,FALSE,FALSE,0.841841324663243
"r_salina2","ErC10","SQ",1.57132664981593,FALSE,FALSE,0.666666666666667
"c_proliferum","ErC50","B1",1.88664113131544,FALSE,FALSE,0.704545454545455
"c_proliferum","ErC50","B2",0.744123700358632,TRUE,FALSE,2.85255681818181
"c_proliferum","ErC50","B3",1.79738195702194,FALSE,FALSE,0.602272727272727
"c_proliferum","ErC50","C",1.94019663589154,FALSE,FALSE,0.568181818181818
"c_proliferum","ErC50","C2",1.94019663589154,FALSE,FALSE,0.556818181818181
"c_proliferum","ErC50","SQ",1.6069623851958,FALSE,FALSE,0.75
