"prior_label","bot_prior","dataset","arm","endpoint","estimate","lower","upper","max_rhat","divergences","escalated","bot_mean","bot_sd","prior_sd","contraction"
"default","normal(-0.2699914162, 0.4043689377)","c_proliferum","A","ErC10",1.62254054054054,0.861817817817818,2.96381481481481,1.00214816577592,0,FALSE,-1.0218490781225,0.238856225131626,0.408134532058387,0.414761049678943
"default","normal(-0.2699914162, 0.4043689377)","c_proliferum","A","ErC50",3.32415715715716,2.62349149149149,4.4252032032032,1.00214816577592,0,FALSE,-1.0218490781225,0.238856225131626,0.408134532058387,0.414761049678943
"default","normal(-0.2699914162, 0.4043689377)","c_proliferum","A","NSEC",1.9609633031349,1.01871009583531,3.38390919347133,1.00214816577592,0,FALSE,-1.0218490781225,0.238856225131626,0.408134532058387,0.414761049678943
"wider","normal(-0.2699914162, 1.617475751)","c_proliferum","A","ErC10",1.56248348348348,0.861817817817818,2.76362462462462,1.00181110650369,0,FALSE,-2.39286041522375,0.91461581693482,1.62674023349852,0.437761605632745
"wider","normal(-0.2699914162, 1.617475751)","c_proliferum","A","ErC50",3.42425225225225,2.76362462462462,4.38566564064063,1.00181110650369,0,FALSE,-2.39286041522375,0.91461581693482,1.62674023349852,0.437761605632745
"wider","normal(-0.2699914162, 1.617475751)","c_proliferum","A","NSEC",1.94095695976277,1.03237660719424,3.17366562325483,1.00181110650369,0,FALSE,-2.39286041522375,0.91461581693482,1.62674023349852,0.437761605632745
"tighter","normal(-0.2699914162, 0.1010922344)","c_proliferum","A","ErC10",1.64255955955956,0.841798798798799,3.22406206206206,1.00156948260711,0,FALSE,-0.5035063520125,0.069666332105517,0.102741565763178,0.32192650960664
"tighter","normal(-0.2699914162, 0.1010922344)","c_proliferum","A","ErC50",3.164005005005,2.40328228228228,4.46574171671671,1.00156948260711,0,FALSE,-0.5035063520125,0.069666332105517,0.102741565763178,0.32192650960664
"tighter","normal(-0.2699914162, 0.1010922344)","c_proliferum","A","NSEC",1.99962417518891,1.03465388821523,3.6701384422619,1.00156948260711,0,FALSE,-0.5035063520125,0.069666332105517,0.102741565763178,0.32192650960664
"fixed_bot","normal(-0.2699914162, 0.404368937659777)","c_proliferum","B2","ErC10",0.921874874874875,0.001,1.72263563563564,1.00353576051746,2,FALSE,0,0,NA,NA
"fixed_bot","normal(-0.2699914162, 0.404368937659777)","c_proliferum","B2","ErC50",2.50337737737738,0.581551551551551,5.60682580080079,1.00353576051746,2,FALSE,0,0,NA,NA
"fixed_bot","normal(-0.2699914162, 0.404368937659777)","c_proliferum","B2","NSEC",1.84918441286282,0.58814203711188,4.53931641687298,1.00353576051746,2,FALSE,0,0,NA,NA
