"arm","prior_label","prior_scale","dataset","arm","endpoint","estimate","lower","upper","bot_mean","bot_sd","contraction","divergences"
"A","tighter",0.25,"c_proliferum","A","ErC10",1.64255955955956,0.841798798798799,3.22406206206206,-0.5035063520125,0.069666332105517,0.32192650960664,0
"A","tighter",0.25,"c_proliferum","A","ErC50",3.164005005005,2.40328228228228,4.46574171671671,-0.5035063520125,0.069666332105517,0.32192650960664,0
"A","tighter",0.25,"c_proliferum","A","NSEC",1.99962417518891,1.03465388821523,3.6701384422619,-0.5035063520125,0.069666332105517,0.32192650960664,0
"A","default",1,"c_proliferum","A","ErC10",1.62254054054054,0.861817817817818,2.96381481481481,-1.0218490781225,0.238856225131626,0.414761049678943,0
"A","default",1,"c_proliferum","A","ErC50",3.32415715715716,2.62349149149149,4.4252032032032,-1.0218490781225,0.238856225131626,0.414761049678943,0
"A","default",1,"c_proliferum","A","NSEC",1.9609633031349,1.01871009583531,3.38390919347133,-1.0218490781225,0.238856225131626,0.414761049678943,0
"A","wider",4,"c_proliferum","A","ErC10",1.56248348348348,0.861817817817818,2.76362462462462,-2.39286041522375,0.91461581693482,0.437761605632745,0
"A","wider",4,"c_proliferum","A","ErC50",3.42425225225225,2.76362462462462,4.38566564064063,-2.39286041522375,0.91461581693482,0.437761605632745,0
"A","wider",4,"c_proliferum","A","NSEC",1.94095695976277,1.03237660719424,3.17366562325483,-2.39286041522375,0.91461581693482,0.437761605632745,0
"B1","tighter",0.25,"c_proliferum","B1","ErC10",2.72358658658659,1.82273073073073,3.44427127127127,-0.0297598264979994,0.0209354801306353,0.79162628772975,0
"B1","tighter",0.25,"c_proliferum","B1","ErC50",6.40708608608609,5.80651551551552,7.20784684684685,-0.0297598264979994,0.0209354801306353,0.79162628772975,0
"B1","tighter",0.25,"c_proliferum","B1","NSEC",2.23780606429851,1.18300374775078,3.16543313136867,-0.0297598264979994,0.0209354801306353,0.79162628772975,0
"B1","default",1,"c_proliferum","B1","ErC10",2.78364364364364,1.86276876876877,3.46429029029029,-0.0243026775866891,0.0153708652244341,0.961681813606917,0
"B1","default",1,"c_proliferum","B1","ErC50",6.34702902902903,5.76647747747748,7.06771371371371,-0.0243026775866891,0.0153708652244341,0.961681813606917,0
"B1","default",1,"c_proliferum","B1","NSEC",2.3276268216502,1.26702209709873,3.1692711171559,-0.0243026775866891,0.0153708652244341,0.961681813606917,0
"B1","wider",4,"c_proliferum","B1","ErC10",2.76362462462462,1.90280680680681,3.42425225225225,-0.0243640194010488,0.0142451430668216,0.991205831493891,0
"B1","wider",4,"c_proliferum","B1","ErC50",6.36704804804805,5.76647747747748,7.04769469469469,-0.0243640194010488,0.0142451430668216,0.991205831493891,0
"B1","wider",4,"c_proliferum","B1","NSEC",2.30042632457936,1.31352031153283,3.11497208901245,-0.0243640194010488,0.0142451430668216,0.991205831493891,0
"C","tighter",0.25,"c_proliferum","C","ErC10",2.66352952952953,1.88278778778779,3.36419519519519,-0.3158691367295,0.0876405243235826,0.134547236445038,0
"C","tighter",0.25,"c_proliferum","C","ErC50",6.48716216216216,5.98668668668669,6.98763763763764,-0.3158691367295,0.0876405243235826,0.134547236445038,0
"C","tighter",0.25,"c_proliferum","C","NSEC",2.08248927676459,1.22886964722727,2.88350285372281,-0.3158691367295,0.0876405243235826,0.134547236445038,0
"C","default",1,"c_proliferum","C","ErC10",2.60347247247247,1.88278778778779,3.32415715715716,-0.608198448889375,0.26996528550654,0.333898896798897,0
"C","default",1,"c_proliferum","C","ErC50",6.54721921921922,6.02672472472472,7.06771371371371,-0.608198448889375,0.26996528550654,0.333898896798897,0
"C","default",1,"c_proliferum","C","NSEC",1.99611340022188,1.20305883247853,2.81354987948004,-0.608198448889375,0.26996528550654,0.333898896798897,0
"C","wider",4,"c_proliferum","C","ErC10",2.56343443443443,1.86276876876877,3.30413813813814,-1.6191590906875,0.961779718494899,0.407549747710389,2
"C","wider",4,"c_proliferum","C","ErC50",6.58725725725726,6.06676276276276,7.06771371371371,-1.6191590906875,0.961779718494899,0.407549747710389,2
"C","wider",4,"c_proliferum","C","NSEC",1.92771417578049,1.13148619482043,2.79934304975654,-1.6191590906875,0.961779718494899,0.407549747710389,2
"D","tighter",0.25,"c_proliferum","D","ErC10",2.53302602602603,1.96757357357357,3.29375973473473,-0.270031774403812,0.0996541621257896,-0.00100902295853444,0
"D","tighter",0.25,"c_proliferum","D","ErC50",5,5,5,-0.270031774403812,0.0996541621257896,-0.00100902295853444,0
"D","tighter",0.25,"c_proliferum","D","NSEC",1.49982285959187,0.8278672084846,2.49389835573021,-0.270031774403812,0.0996541621257896,-0.00100902295853444,0
"D","default",1,"c_proliferum","D","ErC10",2.53302602602603,1.95256156156156,3.27862262262262,-0.404013760260633,0.306553514601387,0.233310066565145,48
"D","default",1,"c_proliferum","D","ErC50",5,5,5,-0.404013760260633,0.306553514601387,0.233310066565145,48
"D","default",1,"c_proliferum","D","NSEC",1.49520435103963,0.840248312367422,2.50990744411564,-0.404013760260633,0.306553514601387,0.233310066565145,48
"D","wider",4,"c_proliferum","D","ErC10",2.54803803803804,2.0026016016016,3.30864664664665,-1.24836417427418,0.981912728342149,0.38749200473541,52
"D","wider",4,"c_proliferum","D","ErC50",5,5,5,-1.24836417427418,0.981912728342149,0.38749200473541,52
"D","wider",4,"c_proliferum","D","NSEC",1.50746523969398,0.855790113936589,2.49489878254151,-1.24836417427418,0.981912728342149,0.38749200473541,52
