"cell","arm","endpoint","delta","top_factor","R","sigma_ratio","truth","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","rel_bias","f_neg"
"d2.0_t0.8_R2.3_s8.1","A","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.328931275454169,0.0216458316832265,0.584806170087092,0.0559171112152636,0.95,0.00974679434480897,0.131169282969334,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","D","ErC50",2,0.8,2.3,8.09002951790214,7.79489604573253,500,-0.31099838824791,0.0402820519666932,0.952060507061309,0.0390740549188938,0.754,0.0192605295877346,-0.0398976954180386,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","C","ErC50",2,0.8,2.3,8.09002951790214,7.79489604573253,500,-0.222507600574369,0.0403760329332732,0.928973318234877,0.0404250941572652,0.792,0.0181513635851415,-0.0285452941602968,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","A","ErC50",2,0.8,2.3,8.09002951790214,7.79489604573253,500,-0.315397238144879,0.0403512261780656,0.954964880721824,0.0390218235786676,0.752,0.0193130008025682,-0.04046201980045,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","F","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.561312809444122,0.0306365342934923,0.885116992024615,0.062869737491711,0.958,0.00897061870775924,0.223837026851971,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","C","NSEC",2,0.8,2.3,8.09002951790214,1.3,500,1.04767625064188,0.0234771281706016,1.17160664225725,0.0431205377454974,0.206,0.0180866801818355,0.80590480818606,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","E","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.386944790118544,0.0267846263503889,0.712542601362282,0.0551270875958921,0.908,0.01292563344676,0.154303571767351,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","B1","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.290125448558611,0.0197520697610863,0.528067004806113,0.0311953925769705,0.948,0.00992935043192656,0.115694523137225,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","B3","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.304131316623479,0.0233045058313285,0.602911895537234,0.0561071761666051,0.934,0.0111035129576184,0.121279700979907,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","E","ErC50",2,0.8,2.3,8.09002951790214,7.79489604573253,500,-0.692132417720679,0.0450665771523002,1.22168509665779,0.036617735560164,0.642,0.0214399626865347,-0.0887930273425007,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","B2","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.368996622859158,0.0249283239930648,0.66801778037412,0.0565068489015569,0.912,0.0126693330526907,0.147146306995928,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","D","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.327707880471957,0.0216071141779803,0.58340318741884,0.0560385170827277,0.95,0.00974679434480897,0.13068142470051,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","C","ErC10",2,0.8,2.3,8.09002951790214,2.50768524465496,500,0.306599976821964,0.0217442523909865,0.574401418257865,0.0554529995675234,0.946,0.0101078187557949,0.1222641388011,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","B2","ErC50",2,0.8,2.3,8.09002951790214,7.79489604573253,500,-0.408362446945955,0.0412178055675871,1.00723121897784,0.0301890712899191,0.71,0.0202928558857545,-0.0523884404038359,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","B1","NSEC",2,0.8,2.3,8.09002951790214,1.3,500,1.01949553113329,0.021456370962418,1.12654280415096,0.0298957037234889,0.22,0.0185256578830551,0.784227331640989,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","B3","NSEC",2,0.8,2.3,8.09002951790214,1.3,500,1.05082331073547,0.0254054030896465,1.19427863120488,0.045325689476967,0.216,0.0184034779321736,0.808325623642667,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","B2","NSEC",2,0.8,2.3,8.09002951790214,1.3,500,1.16107639644984,0.0276886905373534,1.31554685459924,0.0470106701335303,0.176,0.017030795636141,0.893135689576804,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","D","NSEC",2,0.8,2.3,8.09002951790214,1.3,500,1.09010391051613,0.0234122095791117,1.2090674848218,0.0430413686447862,0.176,0.017030795636141,0.838541469627791,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","E","NSEC",2,0.8,2.3,8.09002951790214,1.3,500,1.23447171734611,0.0293785794220251,1.39807288237299,0.0463073231373203,0.188,0.0174731794473702,0.94959362872778,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","A","NSEC",2,0.8,2.3,8.09002951790214,1.3,500,1.09164366610406,0.0234726161891703,1.21103954742047,0.0430162132740033,0.176,0.017030795636141,0.839725897003119,0.0181142857142857
"d2.0_t0.8_R2.3_s8.1","F","ErC50",2,0.8,2.3,8.09002951790214,7.79489604573253,500,-0.18118273265995,0.0489167120582017,1.10763563376593,0.0396117765927412,0.806,0.0176841171676734,-0.0232437650992333,0.0181142857142857
