"cell","arm","endpoint","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse"
"d2.0_t0.8_R2.3_s8.1","A","ErC10",472,0.29851043950258,0.0181356634687665,0.493985284015709,0.0217753964932425,0.953389830508475,0.00970296800559384
"d2.0_t1.0_R2.3_s8.1","A","ErC10",480,0.467275958609606,0.0195565326814743,0.63367514498705,0.0276951880050124,0.914583333333333,0.012757404689877
"d2.0_t2.0_R2.3_s8.1","A","ErC10",495,1.05093728558866,0.0223762548937421,1.1626751003943,0.0258076031007133,0.765656565656566,0.0190388538999954
"d4.0_t0.8_R2.3_s8.1","A","ErC10",481,0.0565285096101042,0.0126280952789781,0.282383589782966,0.0253759751045716,0.960498960498961,0.00888137430359366
"d4.0_t1.0_R2.3_s8.1","A","ErC10",489,0.1524257308454,0.0122747242808189,0.311062703059649,0.0131109320639584,0.957055214723926,0.00916788770752134
"d4.0_t2.0_R17.0_s8.1","A","ErC10",498,0.0691631144832569,0.00402144941409597,0.113230066386628,0.00431388365681278,0.963855421686747,0.0083639775241039
"d4.0_t2.0_R2.3_s8.1","A","ErC10",495,0.376635869016202,0.0125118997270254,0.468176365711133,0.0136516505867699,0.901010101010101,0.0134232497599093
"d4.0_t2.0_R3.3_s8.1","A","ErC10",498,0.243020387024725,0.00874775377111659,0.311594186309002,0.00959158246795608,0.919678714859438,0.0121791988293302
"d4.0_t2.0_R73.0_s8.1","A","ErC10",498,0.0292879340381622,0.00249869867930945,0.0629348880982973,0.00303743627803467,0.981927710843373,0.00596941359239581
"d8.0_t0.8_R2.3_s8.1","A","ErC10",487,-0.0175591038349701,0.00734048041006702,0.162773742709529,0.00503927017448133,0.950718685831622,0.00980850176443198
"d8.0_t1.0_R2.3_s8.1","A","ErC10",484,0.0743155475164785,0.0090862074367293,0.213070123619891,0.00654528358744897,0.90495867768595,0.013330545716701
"d8.0_t2.0_R2.3_s8.1","A","ErC10",497,0.181662465179869,0.00693163404528535,0.23839638487602,0.00771219486606325,0.859154929577465,0.0156037281156477
"d2.0_t0.8_R2.3_s8.1","C","ErC10",466,0.261651690034277,0.0176040393248989,0.461048945508767,0.0224599187145465,0.954935622317597,0.00960972097535883
"d2.0_t1.0_R2.3_s8.1","C","ErC10",480,0.393672728839752,0.0193543105735335,0.578278920787556,0.027034625346264,0.91875,0.0124706687120218
"d2.0_t2.0_R2.3_s8.1","C","ErC10",488,0.687347916473237,0.0211156458147762,0.830413204911484,0.026404175835481,0.815573770491803,0.0175563026010503
"d4.0_t0.8_R2.3_s8.1","C","ErC10",478,0.0507590774496363,0.0127661742217617,0.283400170034769,0.0256732150261422,0.960251046025105,0.00893596169226817
"d4.0_t1.0_R2.3_s8.1","C","ErC10",489,0.118918984555646,0.0122426386033489,0.295439060508566,0.0143281825086622,0.957055214723926,0.00916788770752134
"d4.0_t2.0_R17.0_s8.1","C","ErC10",489,0.0469121072623384,0.0042601404532277,0.105153975617815,0.00433755007323448,0.928425357873211,0.0116573184339265
"d4.0_t2.0_R2.3_s8.1","C","ErC10",487,0.203195012942992,0.0114336438670814,0.323762450502551,0.0128818514744257,0.926078028747433,0.0118562153636341
"d4.0_t2.0_R3.3_s8.1","C","ErC10",483,0.134244883361373,0.00854494943176688,0.230684802729155,0.00902937902200786,0.927536231884058,0.0117964772109635
"d4.0_t2.0_R73.0_s8.1","C","ErC10",488,0.018926680463354,0.00244578176871109,0.0571959739270135,0.00300286003994537,0.959016393442623,0.00897445721347482
"d8.0_t0.8_R2.3_s8.1","C","ErC10",485,-0.0191416172724277,0.00731881768951017,0.162147791289277,0.00502132027898034,0.952577319587629,0.00965099960581802
"d8.0_t1.0_R2.3_s8.1","C","ErC10",485,0.0541454358188008,0.00898445419177671,0.204940015878034,0.00659890664418829,0.901030927835052,0.013559657791485
"d8.0_t2.0_R2.3_s8.1","C","ErC10",460,0.076749862373752,0.00686003055541327,0.165804373274418,0.00517818585045992,0.934782608695652,0.0115121942130757
"d2.0_t0.8_R2.3_s8.1","D","ErC10",470,0.294734424923799,0.0180634803277756,0.489793908744301,0.0218973036847278,0.95531914893617,0.00952984925558275
