"setting","iteration","arm","elapsed","divergences","max_rhat","ok","error"
"full",1,"A",56.8228220939636,0,1.00271924036281,TRUE,NA
"full",1,"B1",29.6782221794128,0,1.00230180610904,TRUE,NA
"full",1,"B2",34.1186530590057,0,1.00380539134089,TRUE,NA
"full",1,"B3",27.2605593204498,0,1.00114016822612,TRUE,NA
"full",1,"C",53.1283428668976,0,1.00168250575621,TRUE,NA
"full",1,"D",218.409919977188,8,1.00529011247581,TRUE,NA
"full",2,"A",34.6408190727234,0,1.00108103630138,TRUE,NA
"full",2,"B1",154.320202827454,0,1.00461720290794,TRUE,NA
"full",2,"B2",155.683850049973,4,1.02540371339958,TRUE,NA
"full",2,"B3",28.013858795166,0,1.02820855104716,TRUE,NA
"full",2,"C",101.338602304459,0,1.00139779751193,TRUE,NA
"full",2,"D",250.152063369751,0,1.00284456205714,TRUE,NA
"full",3,"A",40.0415358543396,0,1.00214540895975,TRUE,NA
"full",3,"B1",18.7826533317566,0,1.0031518919193,TRUE,NA
"full",3,"B2",43.7581243515015,15,1.01132683818503,TRUE,NA
"full",3,"B3",29.4843239784241,0,1.00816343607269,TRUE,NA
"full",3,"C",46.6563036441803,0,1.0047540765798,TRUE,NA
"full",3,"D",65.1487095355988,0,1.00299910042162,TRUE,NA
"full",4,"A",39.3725402355194,0,1.00342152623425,TRUE,NA
"full",4,"B1",89.6431386470795,0,1.00446534076656,TRUE,NA
"full",4,"B2",45.4629940986633,9,1.00192343294812,TRUE,NA
"full",4,"B3",30.2348279953003,0,1.00892182520319,TRUE,NA
"full",4,"C",104.311198472977,0,1.00292527160691,TRUE,NA
"full",4,"D",150.219133615494,0,1.00198971438648,TRUE,NA
"lean",1,"A",21.7865986824036,0,1.00389339466596,TRUE,NA
"lean",1,"B1",20.2030618190765,0,1.00358851282947,TRUE,NA
"lean",1,"B2",5.24618744850159,0,1.00479519630048,TRUE,NA
"lean",1,"B3",6.00296306610107,0,1.00373294796932,TRUE,NA
"lean",1,"C",28.307252407074,0,1.00592006990105,TRUE,NA
"lean",1,"D",204.363019704819,0,1.00564586289186,TRUE,NA
"lean",2,"A",12.9440767765045,0,1.00872965531991,TRUE,NA
"lean",2,"B1",59.3304607868195,0,1.02806464086647,TRUE,NA
"lean",2,"B2",12.2987308502197,23,1.03336653367415,TRUE,NA
"lean",2,"B3",22.7134020328522,0,1.01560122045299,TRUE,NA
"lean",2,"C",59.1128830909729,0,1.00438955637567,TRUE,NA
"lean",2,"D",217.605743646622,0,1.00406409290973,TRUE,NA
"lean",3,"A",11.7915923595428,0,1.00327294234235,TRUE,NA
"lean",3,"B1",12.0438907146454,0,1.00555416095458,TRUE,NA
"lean",3,"B2",6.49228763580322,1,1.00282611985602,TRUE,NA
"lean",3,"B3",6.4228994846344,0,1.0274195844984,TRUE,NA
"lean",3,"C",12.9803659915924,0,1.00705860045062,TRUE,NA
"lean",3,"D",52.5435709953308,0,1.00298186284824,TRUE,NA
"lean",4,"A",16.0388786792755,0,1.00401706269859,TRUE,NA
"lean",4,"B1",66.5392088890076,0,1.00716827103825,TRUE,NA
"lean",4,"B2",7.62848734855652,1,1.00874983694043,TRUE,NA
"lean",4,"B3",6.52767014503479,0,1.00971541458678,TRUE,NA
"lean",4,"C",68.3384437561035,0,1.00462987824971,TRUE,NA
"lean",4,"D",142.967567682266,0,1.00595703000102,TRUE,NA
