"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum","A","nec4param",0.0931824225221682,0,0,1.00207744975103,0.33549640537728
FALSE,"c_proliferum","A","neclin",0.762994298215157,0,0,1.00200560054261,0.394859489248865
FALSE,"c_proliferum","A","ecxlin",0.0714171089286451,0,0,1.00116835051895,0.379882242279776
FALSE,"c_proliferum","A","ecx4param",0.0311582348388029,0,0,1.00331630884761,0.219202063481696
FALSE,"c_proliferum","A","ecxwb1",0.0240721504046216,0,0,1.00430165584816,0.235691956441844
FALSE,"c_proliferum","A","ecxwb2",0.0171757850906049,0,0,1.00133401858531,0.275565322384066
FALSE,"c_proliferum","B1","nec4param",0.60415074082005,0,0,1.00460513509777,0.220000592544028
FALSE,"c_proliferum","B1","neclin",0.000219472296440268,0,0,1.00094601941772,0.419255940961883
FALSE,"c_proliferum","B1","ecxlin",3.89859031904748e-05,0,0,1.00156859599714,0.410472768587205
FALSE,"c_proliferum","B1","ecx4param",0.000445667590368137,0,0,1.00184424013235,0.213000543894313
FALSE,"c_proliferum","B1","ecxwb1",0.000577143840708399,0,0,1.00192508074557,0.243855094794606
FALSE,"c_proliferum","B1","ecxwb2",0.000405522739834282,0,0,1.00239619217236,0.213149566492304
FALSE,"c_proliferum","B1","ecxll5",0.393685190587972,1589,1837,1.02095975630231,0.0265113243232874
FALSE,"c_proliferum","B1","ecxll4",0.000477276221436439,0,0,1.0019735685004,0.131786714601285
FALSE,"c_proliferum","B2","nec4param",0.10074869949323,1,0,1.00796440551458,0.033088528624974
FALSE,"c_proliferum","B2","ecx4param",0.173913571630527,86,0,1.00252119672335,0.0845117667428833
FALSE,"c_proliferum","B2","ecxwb1",0.259972513155039,39,0,1.00268488804015,0.137337736665873
FALSE,"c_proliferum","B2","ecxwb2",0.137334597609434,78,0,1.00235781389323,0.126102154450723
FALSE,"c_proliferum","B2","ecxll5",0.159377169448287,1325,0,1.00252633111036,0.117753432873154
FALSE,"c_proliferum","B2","ecxll4",0.168653448663483,71,0,1.00440737547182,0.118538318540354
FALSE,"c_proliferum","B3","nec4param",0.563118899084183,0,0,1.002734335954,0.335732879721065
FALSE,"c_proliferum","B3","ecx4param",0.00015058408294624,0,0,1.00181310628659,0.339719415801305
FALSE,"c_proliferum","B3","ecxwb1",0.00197640745553164,0,0,1.00112188287632,0.366832047698118
FALSE,"c_proliferum","B3","ecxwb2",6.15259276628371e-05,0,0,1.00127977928219,0.373274056784622
FALSE,"c_proliferum","B3","ecxll5",0.43453317531716,1980,0,1.00649284043756,0.0701113471997378
FALSE,"c_proliferum","B3","ecxll4",0.000159408132516917,0,0,1.00259173915698,0.365087894697389
FALSE,"c_proliferum","C","nec4param",0.401066136777977,0,0,1.00201497073987,0.299370288023719
FALSE,"c_proliferum","C","neclin",0.452692001180069,0,0,1.00186544821802,0.315090095839067
FALSE,"c_proliferum","C","ecxlin",0.00588380105466255,0,0,1.00165461222698,0.350958417626174
FALSE,"c_proliferum","C","ecx4param",0.00394859613960475,0,0,1.00254036340387,0.209671725944398
FALSE,"c_proliferum","C","ecxwb1",0.00486573240960566,0,0,1.00162936018887,0.210210808899394
FALSE,"c_proliferum","C","ecxwb2",0.00443852318326886,0,0,1.00229075788693,0.233321318190931
FALSE,"c_proliferum","C","ecxll5",0.122112388583131,1680,0,1.00463859456768,0.0785026994061353
FALSE,"c_proliferum","C","ecxll4",0.00499282067168118,0,0,1.0012630047565,0.221261586997032
FALSE,"c_proliferum","C2","nec4param",0.475781538314118,0,0,1.0014658106063,0.337871660849197
FALSE,"c_proliferum","C2","neclin",0.495048822198663,0,0,1.00159633918666,0.287492464157627
FALSE,"c_proliferum","C2","ecxlin",0.00653749926708008,0,0,1.00147870431719,0.359326485577537
FALSE,"c_proliferum","C2","ecx4param",0.00598372428926261,0,0,1.00148736428132,0.225387295045636
FALSE,"c_proliferum","C2","ecxwb1",0.00523202576319978,0,0,1.00101580181699,0.183469255035311
FALSE,"c_proliferum","C2","ecxwb2",0.00594150863571173,0,0,1.00162885717884,0.222829761691258
FALSE,"c_proliferum","C2","ecxll4",0.00547488153196468,0,0,1.00341948129778,0.171992547699031
FALSE,"c_proliferum","D","nec4param",0.364439874560042,0,0,1.00112507551658,0.221574015594039
FALSE,"c_proliferum","D","neclin",0.419836746488192,0,0,1.00264794364283,0.348336186138215
FALSE,"c_proliferum","D","ecxlin",0.00538014511311848,0,0,1.00347079872983,0.382854275951807
FALSE,"c_proliferum","D","ecx4param",0.0227989876583942,747,0,1.5298589763911,0.0008965118113774
FALSE,"c_proliferum","D","ecxwb1",0.00457873537743894,0,0,1.00192398950512,0.201704273421295
