"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum","A","nec4param",0.000537202643413471,0,0,1.52850349170262,0.000890589163398197
FALSE,"c_proliferum","A","neclin",0.0463034447121483,0,0,1.0007221665883,0.39822414896891
FALSE,"c_proliferum","A","ecxlin",0.0106144244495231,0,0,1.00086304037476,0.420576185905344
FALSE,"c_proliferum","A","ecx4param",1.94477214382597e-05,242,0,1.52901915592743,0.000895882673386635
FALSE,"c_proliferum","A","ecxwb1",1.59769194008921e-05,359,0,1.53094642623857,0.000894475411027303
FALSE,"c_proliferum","A","ecxwb2",2.06313249877789e-06,52,0,1.53393708586522,0.00089416580484328
FALSE,"c_proliferum","A","ecxll5",0.104706621584657,42,0,1.00786701260305,0.114066961415919
FALSE,"c_proliferum","A","ecxll4",0.837800818836921,556,0,1.73565744666947,0.000761287104834999
FALSE,"c_proliferum","B1","nec4param",0.610157151472624,0,0,1.0030920926733,0.196002775853933
FALSE,"c_proliferum","B1","neclin",0.000621870803726078,0,0,1.00140129248582,0.423101033784413
FALSE,"c_proliferum","B1","ecxlin",0.000233463289913981,0,0,1.0018466888429,0.394707111242268
FALSE,"c_proliferum","B1","ecx4param",0.000906800031104815,0,0,1.00159359220779,0.191864094065922
FALSE,"c_proliferum","B1","ecxwb1",0.00100201550920873,0,0,1.00074382762532,0.261127604558216
FALSE,"c_proliferum","B1","ecxwb2",0.00076311102358946,0,0,1.00197317092883,0.175182647365107
FALSE,"c_proliferum","B1","ecxll5",0.385491827268764,1589,1837,1.02095975630231,0.0265113243232874
FALSE,"c_proliferum","B1","ecxll4",0.000823760601069707,0,0,1.00553105238218,0.172516334748917
FALSE,"c_proliferum","B2","nec4param",0.100580459485254,1,0,1.00796440551458,0.033088528624974
FALSE,"c_proliferum","B2","ecx4param",0.17393205165961,86,0,1.00252119672335,0.0845117667428833
FALSE,"c_proliferum","B2","ecxwb1",0.260250805015995,39,0,1.00268488804015,0.137337736665873
FALSE,"c_proliferum","B2","ecxwb2",0.137333814178532,78,0,1.00235781389323,0.126102154450723
FALSE,"c_proliferum","B2","ecxll5",0.159257549558311,1325,0,1.00252633111036,0.117753432873154
FALSE,"c_proliferum","B2","ecxll4",0.168645320102298,71,0,1.00440737547182,0.118538318540354
FALSE,"c_proliferum","B3","nec4param",0.559029457498808,0,0,1.002734335954,0.335732879721065
FALSE,"c_proliferum","B3","ecx4param",0.00018258221864856,0,0,1.00181310628659,0.339719415801305
FALSE,"c_proliferum","B3","ecxwb1",0.001848422142432,0,0,1.00112188287632,0.366832047698118
FALSE,"c_proliferum","B3","ecxwb2",8.46101249689435e-05,0,0,1.00127977928219,0.373274056784622
FALSE,"c_proliferum","B3","ecxll5",0.438660850291092,1980,0,1.00649284043756,0.0701113471997378
FALSE,"c_proliferum","B3","ecxll4",0.000194077724050606,0,0,1.00259173915698,0.365087894697389
FALSE,"c_proliferum","C","nec4param",0.380230887022614,0,0,1.00139504375874,0.284246257088692
