"dataset","endpoint","arm","ratio_to_A","A_inside_arm_interval","width_ratio"
"c_proliferum","ErC10","B1",1.95707312404288,FALSE,0.774509803921566
"c_proliferum","ErC10","B2",0.479239623682551,TRUE,0.607843137254901
"c_proliferum","ErC10","B3",2.11189377646158,FALSE,0.75490196078431
"c_proliferum","ErC10","C",1.78817786685885,FALSE,0.882107843137255
"c_proliferum","ErC10","C2",1.80225247162418,TRUE,0.980392156862742
"c_proliferum","ErC10","D",1.78439160886407,FALSE,0.661665436212985
"c_proliferum","ErC10","SQ",2.25263982411494,FALSE,0.745098039215682
"c_proliferum2","ErC10","B1",1.21276608092109,FALSE,0.533333333333328
"c_proliferum2","ErC10","B2",1.54158638779915,TRUE,2.71666666666667
"c_proliferum2","ErC10","B3",1.20631862392348,FALSE,0.533333333333337
"c_proliferum2","ErC10","C",1.33526776387566,FALSE,0.566666666666673
"c_proliferum2","ErC10","C2",1.33526776387566,FALSE,0.558333333333339
"c_proliferum2","ErC10","D",1.33276267632334,FALSE,0.532014013901385
"c_proliferum2","ErC10","SQ",1.35461013486849,FALSE,0.416666666666667
"r_salina","ErC10","B1",0.922147085850448,TRUE,3.3684210526316
"r_salina","ErC10","B2",0.102642726381472,FALSE,2.73684210526318
"r_salina","ErC10","B3",0.909854520458413,TRUE,3.26315789473685
"r_salina","ErC10","C",0.963122303823897,TRUE,1.52631578947369
"r_salina","ErC10","C2",0.090350160989437,FALSE,0.315789473684211
"r_salina","ErC10","D",0.575820134384947,FALSE,0.855134862006261
"r_salina","ErC10","SQ",0.737758604969927,FALSE,3.57894736842105
"r_salina2","ErC10","B1",1.53050408594252,FALSE,0.737656157049382
"r_salina2","ErC10","B2",1.73454411899733,TRUE,2.80785246876862
"r_salina2","ErC10","B3",1.550908089248,FALSE,0.737656157049382
"r_salina2","ErC10","C",1.3264640528877,FALSE,0.571088637715651
"r_salina2","ErC10","C2",1.3264640528877,FALSE,0.499702558001194
"r_salina2","ErC10","D",1.54676542303023,FALSE,0.804250993134566
"r_salina2","ErC10","SQ",1.67333210908089,FALSE,0.547293277810832
"c_proliferum","ErC50","B1",1.85355183014171,FALSE,0.692307692307694
"c_proliferum","ErC50","B2",0.929845055056845,TRUE,3.14313186813187
"c_proliferum","ErC50","B3",1.76585814896277,FALSE,0.582417582417584
"c_proliferum","ErC50","C",1.91786052967293,FALSE,0.571428571428573
"c_proliferum","ErC50","C2",1.91786052967293,FALSE,0.560439560439561
"c_proliferum","ErC50","SQ",1.66062573154804,FALSE,0.769230769230769
"c_proliferum2","ErC50","B1",0.967488477577001,TRUE,1
"c_proliferum2","ErC50","B2",0.945814129294998,TRUE,6.80769230769241
"c_proliferum2","ErC50","B3",0.967488477577001,TRUE,1.03846153846154
"c_proliferum2","ErC50","C",0.964779184041751,TRUE,1
"c_proliferum2","ErC50","C2",0.964779184041751,TRUE,1
"c_proliferum2","ErC50","D",0.965079403787431,TRUE,1.03370337033707
"c_proliferum2","ErC50","SQ",0.95936059697125,TRUE,1.84615384615391
"r_salina","ErC50","B1",1.01194981305574,TRUE,4.50000000000082
"r_salina","ErC50","B2",0.474208225547269,FALSE,65.0125000000123
"r_salina","ErC50","B3",1.01194981305574,TRUE,4.50000000000082
"r_salina","ErC50","C",1.00398327101858,TRUE,2.00000000000024
"r_salina","ErC50","C2",0.434375515361456,FALSE,14.5000000000027
"r_salina","ErC50","SQ",1.01194981305574,TRUE,8.0000000000014
"r_salina2","ErC50","B1",0.813446743922872,FALSE,0.379310344827586
"r_salina2","ErC50","B2",0.865681655624468,TRUE,3.17413793103445
"r_salina2","ErC50","B3",0.813446743922872,FALSE,0.379310344827586
"r_salina2","ErC50","C",0.873143785867553,FALSE,0.517241379310344
"r_salina2","ErC50","C2",0.873143785867553,FALSE,0.482758620689655
"r_salina2","ErC50","D",0.81490657506064,FALSE,0.475843034292403
"r_salina2","ErC50","SQ",0.820908874165957,FALSE,0.551724137931034
"c_proliferum","NSEC","B1",1.28732866946759,TRUE,0.778186822063265
"c_proliferum","NSEC","B2",1.21522876666141,TRUE,1.9475397410382
"c_proliferum","NSEC","B3",1.44595432512726,TRUE,0.756444750936487
"c_proliferum","NSEC","C",1.04446309611092,TRUE,0.879083419758288
"c_proliferum","NSEC","C2",1.05768246914228,TRUE,0.861572802423015
"c_proliferum","NSEC","D",0.810732851945701,TRUE,0.739096982780161
"c_proliferum","NSEC","SQ",1.485320713494,TRUE,0.803226523633988
"c_proliferum2","NSEC","B1",1.32431950245602,TRUE,0.671984317370499
"c_proliferum2","NSEC","B2",4.04000708631106,FALSE,1.30946347634625
"c_proliferum2","NSEC","B3",1.28318399668871,TRUE,0.690486646925486
"c_proliferum2","NSEC","C",2.66939061279812,TRUE,0.745098986896653
"c_proliferum2","NSEC","C2",2.67316138404724,TRUE,0.744689517253021
"c_proliferum2","NSEC","D",2.67026401236864,TRUE,0.69208361915247
"c_proliferum2","NSEC","SQ",1.59983011491663,TRUE,0.623699153412014
"r_salina","NSEC","B1",0.842799242918477,TRUE,3.2173647469752
"r_salina","NSEC","B2",0.218728862057898,FALSE,1.77442641038652
"r_salina","NSEC","B3",0.801339791834264,TRUE,3.14251617294804
"r_salina","NSEC","C",0.950095791631577,TRUE,1.36893826370927
"r_salina","NSEC","C2",0.0833519859766137,FALSE,0.733286961432781
"r_salina","NSEC","D",0.464245925758525,FALSE,0.633516659353934
"r_salina","NSEC","SQ",0.341738956895165,FALSE,3.90611473257091
"r_salina2","NSEC","B1",1.338528860551,TRUE,1.18435199759545
"r_salina2","NSEC","B2",2.16544775165924,TRUE,1.91920130700364
"r_salina2","NSEC","B3",1.33354291829186,TRUE,1.16576468336096
"r_salina2","NSEC","C",1.2771630964459,TRUE,0.456196270498823
"r_salina2","NSEC","C2",1.28084098003205,FALSE,0.41150993072818
"r_salina2","NSEC","D",1.38572950832684,TRUE,1.07463148797722
"r_salina2","NSEC","SQ",1.50403443764072,TRUE,0.96839317895019
