"dataset","arm","endpoint","estimate","lower","upper","n","n_censored","escalated","n_requested","n_averaged","dropped_rhat","elapsed"
"c_proliferum","A","ErC10",1.42235035035035,0.501475475475475,2.54341541541542,85,0,FALSE,14,6,"",99.691187620163
"c_proliferum","A","ErC50",3.42425225225225,2.50337737737738,4.32510810810811,85,0,FALSE,14,6,"",99.691187620163
"c_proliferum","A","NSEC",1.80739854936426,0.585632777472283,3.01266395523983,85,0,FALSE,14,6,"",99.691187620163
"c_proliferum","B1","ErC10",2.78364364364364,1.86276876876877,3.44427127127127,85,0,FALSE,14,7,"ecxll5",1964.67862510681
"c_proliferum","B1","ErC50",6.34702902902903,5.76647747747748,7.02767567567568,85,0,FALSE,14,7,"ecxll5",1964.67862510681
"c_proliferum","B1","NSEC",2.32671596975075,1.26212161537134,3.15080529464673,85,0,FALSE,14,7,"ecxll5",1964.67862510681
"c_proliferum","B2","ErC10",0.681646646646647,0.20119019019019,1.44236936936937,85,0,FALSE,6,6,"",85.7975389957428
"c_proliferum","B2","ErC50",3.18402402402402,0.801260285285286,6.5272002002002,85,0,FALSE,6,6,"",85.7975389957428
"c_proliferum","B2","NSEC",2.19640271000955,0.504536701853396,5.23127637329444,85,0,FALSE,6,6,"",85.7975389957428
"c_proliferum","B3","ErC10",3.00385285285285,2.26314914914915,3.80461361361361,85,0,FALSE,6,6,"",71.0299785137177
"c_proliferum","B3","ErC50",6.04674374374374,5.52624924924925,6.58725725725726,85,0,FALSE,6,6,"",71.0299785137177
"c_proliferum","B3","NSEC",2.61341574968199,1.71475511563752,3.55067011041898,85,0,FALSE,6,6,"",71.0299785137177
"c_proliferum","C","ErC10",2.54341541541542,1.5029269019019,3.30413813813814,85,12,FALSE,14,8,"",2105.29425477982
"c_proliferum","C","ErC50",6.56723823823824,6.04674374374374,7.08773273273273,85,12,FALSE,14,8,"",2105.29425477982
"c_proliferum","C","NSEC",1.88776108477538,0.626666653296838,2.76022952090872,85,12,FALSE,14,8,"",2105.29425477982
"c_proliferum","C2","ErC10",2.56343443443443,1.30223623623624,3.30413813813814,85,12,FALSE,14,7,"",280.361973524094
"c_proliferum","C2","ErC50",6.56723823823824,6.04674374374374,7.06771371371371,85,12,FALSE,14,7,"",280.361973524094
