"dataset","arm","endpoint","estimate","lower","upper","n_averaged"
"c_proliferum","A","ErC10",1.42235035035035,0.501475475475475,2.58345345345345,6
"c_proliferum","A","ErC50",3.42425225225225,2.5233963963964,4.30508908908909,6
"c_proliferum","A","NSEC",1.81118137349453,0.605442338970091,3.00604236519962,6
"c_proliferum","B1","ErC10",2.76362462462462,1.86226829329329,3.48430930930931,8
"c_proliferum","B1","ErC50",6.36704804804805,5.76647747747748,7.02767567567568,8
"c_proliferum","B1","NSEC",2.30030423242796,1.11865790380852,3.16298392588434,8
"c_proliferum","B2","ErC10",0.681646646646647,0.20119019019019,1.42235035035035,6
"c_proliferum","B2","ErC50",3.20404304304304,0.801760760760761,6.46714314314314,6
"c_proliferum","B2","NSEC",2.20608439633819,0.512801942009744,5.08017748614134,6
"c_proliferum","B3","ErC10",3.00385285285285,2.28216721721722,3.80461361361361,6
"c_proliferum","B3","ErC50",6.04674374374374,5.52624924924925,6.58725725725726,6
"c_proliferum","B3","NSEC",2.60497415775516,1.67559728272438,3.55618310616257,6
"c_proliferum","C","ErC10",2.54341541541542,1.5029269019019,3.30413813813814,8
"c_proliferum","C","ErC50",6.56723823823824,6.04674374374374,7.06771371371371,8
"c_proliferum","C","NSEC",1.89094670097947,0.629492127213733,2.76591651083757,8
"c_proliferum","C2","ErC10",2.56343443443443,1.32225525525526,3.30413813813814,7
"c_proliferum","C2","ErC50",6.56723823823824,6.04674374374374,7.06771371371371,7
"c_proliferum","C2","NSEC",1.8991509757489,0.658786212778165,2.78987133486202,7
"c_proliferum","D","ErC10",2.53803003003003,1.93254554554555,3.32365865865866,8
"c_proliferum","D","ErC50",5,5,5,8
"c_proliferum","D","NSEC",1.44636535346935,0.610613690024108,2.55380413138212,8
"c_proliferum","SQ","ErC10",3.18402402402402,2.50337737737738,4.04484184184184,11
"c_proliferum","SQ","ErC50",5.66638238238238,4.96571671671672,6.36704804804805,11
"c_proliferum","SQ","NSEC",2.68646844431425,1.65678795627276,3.61018248070578,11
"c_proliferum2","A","ErC10",156.240540540541,122.20990990991,240.316216216216,8
"c_proliferum2","A","ErC50",369.432432432432,355.41981981982,382.444144144144,8
"c_proliferum2","A","NSEC",66.8857011438437,22.537978761504,226.182044778611,8
"c_proliferum2","B1","ErC10",188.269369369369,157.241441441441,221.299099099099,7
"c_proliferum2","B1","ErC50",357.421621621622,343.409009009009,369.432432432432,7
"c_proliferum2","B1","NSEC",88.6714167645014,31.6670725615319,168.883683669206,7
"c_proliferum2","B2","ErC10",228.305405405405,0.1,399.459459459459,6
"c_proliferum2","B2","ErC50",347.412612612613,221.299099099099,434.490990990991,6
"c_proliferum2","B2","NSEC",270.169986994725,127.698438852877,410.605200530708,6
"c_proliferum2","B3","ErC10",187.268468468468,157.241441441441,221.299099099099,6
"c_proliferum2","B3","ErC50",357.421621621622,343.409009009009,370.433333333333,6
"c_proliferum2","B3","NSEC",85.2491569828844,29.7839474935648,171.310539229437,6
"c_proliferum2","C","ErC10",207.286486486486,159.243243243243,225.302702702703,7
"c_proliferum2","C","ErC50",356.420720720721,344.40990990991,370.433333333333,7
"c_proliferum2","C","NSEC",178.236023739985,52.2328828290861,202.710054757437,7
"c_proliferum2","C2","ErC10",206.285585585586,158.242342342342,225.302702702703,7
"c_proliferum2","C2","ErC50",356.420720720721,344.40990990991,370.433333333333,7
"c_proliferum2","C2","NSEC",178.310163527044,48.6159363741994,201.129561087127,7
"c_proliferum2","D","ErC10",206.897597597598,163.604604604605,224.971371371371,7
"c_proliferum2","D","ErC50",356.531631631632,342.240740740741,369.981881881882,7
"c_proliferum2","D","NSEC",178.373773061911,58.7614766670613,201.703843818897,7
"c_proliferum2","SQ","ErC10",210.289189189189,185.266666666667,235.311711711712,11
"c_proliferum2","SQ","ErC50",354.418918918919,329.396396396396,377.43963963964,11
"c_proliferum2","SQ","NSEC",106.466500689089,48.4534368646278,173.634673937702,11
"r_salina","A","ErC10",4.88564064064064,4.56533633633634,4.92567867867868,8
"r_salina","A","ErC50",5.02577377377377,5.00575475475476,5.04579279279279,8
"r_salina","A","NSEC",4.83428263699622,3.97735889636583,4.90945908194534,8
"r_salina","B1","ErC10",4.50527927927928,3.64446146146146,4.92567867867868,6
"r_salina","B1","ErC50",5.08583083083083,5.00575475475476,5.18592592592593,6
"r_salina","B1","NSEC",4.08052810525515,1.80460591900666,4.9063657159454,6
"r_salina","B2","ErC10",0.501475475475475,0.261247247247247,1.30223623623624,6
"r_salina","B2","ErC50",2.38326326326326,1.14208408408408,3.72453753753754,6
"r_salina","B2","NSEC",1.0628146860393,0.323887378468605,2.05960526184156,6
"r_salina","B3","ErC10",4.48526026026026,3.6844994994995,4.92567867867868,6
"r_salina","B3","ErC50",5.08583083083083,5.00575475475476,5.16590690690691,6
"r_salina","B3","NSEC",3.97883615708184,1.89520546458393,4.88688589115018,6
"r_salina","C","ErC10",4.70546946946947,4.36514614614615,4.92567867867868,8
"r_salina","C","ErC50",5.04579279279279,5.00575475475476,5.08583083083083,8
"r_salina","C","NSEC",4.59170478348587,3.54803285226151,4.91807370091213,8
"r_salina","C2","ErC10",4.86562162162162,0.001,4.98573573573574,7
"r_salina","C2","ErC50",5.02577377377377,5.00575475475476,5.04579279279279,7
"r_salina","C2","NSEC",4.88915499380157,4.76823246233931,4.98606372626941,7
"r_salina","D","ErC10",2.81325025025025,2.64811811811812,2.96837437437437,8
"r_salina","D","ErC50",5,5,5,8
"r_salina","D","NSEC",2.24458920472664,1.84867567501342,2.43169319872335,8
"r_salina","SQ","ErC10",3.60442342342342,3.2641001001001,4.64541241241241,11
"r_salina","SQ","ErC50",5.08583083083083,4.92567867867868,5.24598298298298,11
"r_salina","SQ","NSEC",1.65346912795885,0.81423458792596,4.57094020654984,11
"r_salina2","A","ErC10",49.0585585585586,26.0357657657658,68.0773873873874,7
"r_salina2","A","ErC50",134.142792792793,121.12990990991,150.158648648649,7
"r_salina2","A","NSEC",45.6358209597175,12.4083713596172,65.7449564881306,7
"r_salina2","B1","ErC10",75.0843243243243,59.0684684684685,90.0991891891892,7
"r_salina2","B1","ErC50",109.118018018018,105.114054054054,116.124954954955,7
"r_salina2","B1","NSEC",61.3799933448532,24.6137854201077,88.6733156075956,7
"r_salina2","B2","ErC10",83.0922522522523,0.01,137.145765765766,6
"r_salina2","B2","ErC50",116.124954954955,70.0793693693694,171.179459459459,6
"r_salina2","B2","NSEC",99.8705236928415,45.068212060606,159.862219644342,6
"r_salina2","B3","ErC10",76.0853153153153,59.0684684684685,90.0991891891892,6
"r_salina2","B3","ErC50",109.118018018018,105.114054054054,116.124954954955,6
"r_salina2","B3","NSEC",60.9674688106911,25.3736689505155,88.4814431490058,6
"r_salina2","C","ErC10",65.0744144144144,51.0605405405405,75.0843243243243,7
"r_salina2","C","ErC50",117.125945945946,109.118018018018,124.132882882883,7
"r_salina2","C","NSEC",58.280641839716,44.6954337824905,69.3240755442865,7
"r_salina2","C2","ErC10",65.0744144144144,54.0635135135135,75.0843243243243,7
"r_salina2","C2","ErC50",117.125945945946,110.119009009009,124.132882882883,7
"r_salina2","C2","NSEC",58.5158029850258,47.5833445406168,69.8883576313232,7
"r_salina2","D","ErC10",75.8820820820821,58.0651551551552,91.4969169169169,8
"r_salina2","D","ErC50",109.313843843844,103.503323573574,117.321451451451,8
"r_salina2","D","NSEC",63.317159149969,30.9787275472965,90.6645278180662,8
"r_salina2","SQ","ErC10",82.0912612612613,69.0783783783784,93.1021621621622,11
"r_salina2","SQ","ErC50",110.119009009009,103.112072072072,119.127927927928,11
"r_salina2","SQ","NSEC",68.6937280384342,38.4068335393761,91.241678467087,11
