"dataset","arm","model","wi","requested","dropped","dropped_rhat"
"c_proliferum","A","nec4param",0.0931824225221682,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3",""
"c_proliferum","A","neclin",0.762994298215157,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3",""
"c_proliferum","A","ecxlin",0.0714171089286451,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3",""
"c_proliferum","A","ecx4param",0.0311582348388029,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3",""
"c_proliferum","A","ecxwb1",0.0240721504046216,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3",""
"c_proliferum","A","ecxwb2",0.0171757850906049,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3",""
"c_proliferum","B1","nec4param",0.99403571054627,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","ecxll5"
"c_proliferum","B1","neclin",0.000610656812905522,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","ecxll5"
"c_proliferum","B1","ecxlin",0.000230843378937994,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","ecxll5"
"c_proliferum","B1","ecx4param",0.00132287670655693,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","ecxll5"
"c_proliferum","B1","ecxwb1",0.00116477791654645,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","ecxll5"
"c_proliferum","B1","ecxwb2",0.00126016599989796,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","ecxll5"
"c_proliferum","B1","ecxll4",0.00137496863888506,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3","ecxll5"
"c_proliferum","B2","nec4param",0.10074869949323,6,"",""
"c_proliferum","B2","ecx4param",0.173913571630527,6,"",""
"c_proliferum","B2","ecxwb1",0.259972513155039,6,"",""
"c_proliferum","B2","ecxwb2",0.137334597609434,6,"",""
"c_proliferum","B2","ecxll5",0.159377169448287,6,"",""
"c_proliferum","B2","ecxll4",0.168653448663483,6,"",""
"c_proliferum","B3","nec4param",0.563118899084183,6,"",""
"c_proliferum","B3","ecx4param",0.00015058408294624,6,"",""
"c_proliferum","B3","ecxwb1",0.00197640745553164,6,"",""
"c_proliferum","B3","ecxwb2",6.15259276628371e-05,6,"",""
"c_proliferum","B3","ecxll5",0.43453317531716,6,"",""
"c_proliferum","B3","ecxll4",0.000159408132516917,6,"",""
"c_proliferum","C","nec4param",0.401066136777977,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C","neclin",0.452692001180069,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C","ecxlin",0.00588380105466255,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C","ecx4param",0.00394859613960475,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C","ecxwb1",0.00486573240960566,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C","ecxwb2",0.00443852318326886,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C","ecxll5",0.122112388583131,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C","ecxll4",0.00499282067168118,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll3",""
"c_proliferum","C2","nec4param",0.475781538314118,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum","C2","neclin",0.495048822198663,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum","C2","ecxlin",0.00653749926708008,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum","C2","ecx4param",0.00598372428926261,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum","C2","ecxwb1",0.00523202576319978,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
