"arm","dataset","endpoint","estimate","lower","upper"
"A","sim","ErC10",2.51575800762494,1.8683202850744,3.27418505404128
"A","sim","ErC50",5.05001423589418,4.53206405785375,5.64195729651181
"A","sim","NSEC",2.35174446137402,1.72461187442939,3.14027246951317
"B1","sim","ErC10",2.49725978698064,2.10879715345032,3.01520996502106
"B1","sim","ErC50",4.43957295463224,4.06960854174622,4.86503202945117
"B1","sim","NSEC",2.27841068203415,1.88835452291565,2.8904099062565
"B2","sim","ErC10",2.95971530308816,0.018498220644301,4.93902491202837
"B2","sim","ErC50",4.27308896883353,3.20019217146407,5.5864626345789
"B2","sim","NSEC",3.13590675173689,2.01208489805717,5.10798320675384
"B3","sim","ErC10",2.53425622826924,2.14579359473892,3.05220640630967
"B3","sim","ErC50",4.40257651334364,4.03261210045762,4.80953736751826
"B3","sim","NSEC",2.32430377266023,1.93070008262859,2.90809461136992
"C","sim","ErC10",2.40476868375913,1.94231316765161,2.92271886179956
"C","sim","ErC50",4.62455516107525,4.18059786561203,5.14250533911568
"C","sim","NSEC",2.15734117019192,1.64951599570605,2.74029151618179
"D","sim","ErC10",2.40958233747854,1.94576000043377,2.99335872720729
"D","sim","ErC50",4.68071240162878,4.13692069612801,5.17652248605594
"D","sim","NSEC",2.13673760400601,1.63419824779355,2.86295980942086
"E","sim","ErC10",2.46026334569203,1.94231316765161,3.08920284759827
"E","sim","ErC50",4.27308896883353,3.82913167337031,4.79150160239006
"E","sim","NSEC",2.30515345403114,1.77782270012983,2.98089136550154
"F","sim","ErC10",5.17950178040428,3.10770106824257,7.14031316870019
"F","sim","ErC50",6.13216014358578,4.29158718947783,7.89874021511653
"F","sim","NSEC",5.50074732631299,3.70339599165118,7.44348404305806
