"arm","dataset","parameter","mean","sd","q2.5","q50","q97.5"
"A","sim","bot",-0.43045442451,0.106908140838247,-0.675192754,-0.41940127,-0.25714323625
"A","sim","top",0.11839387108,0.00363149691712623,0.11115208375,0.118465105,0.12544669125
"A","sim","beta",-3.28624701175,0.259471293876693,-3.79308228,-3.28881755,-2.77061909
"A","sim","nec",1.932832746205,0.389577995426112,1.2098367925,1.91134345,2.744858705
"A","sim","sigma",0.022494229292625,0.00203274710460052,0.0188936972,0.022356139,0.026857491175
"B1","sim","bot",-0.00280099000367463,0.00511425465046023,-0.013739071025,-0.0026469957,0.0066478415575
"B1","sim","top",0.11850540594,0.00196717905603947,0.114636886,0.118473085,0.12244624875
"B1","sim","beta",-1.2037657009725,0.181135145167532,-1.5314654575,-1.21543825,-0.82323219925
"B1","sim","nec",2.1840713552875,0.271613945583102,1.7004664975,2.1466051,2.752952945
"B1","sim","sigma",0.0122541672961375,0.00110985490899347,0.010321126775,0.0121704305,0.014652058325
"B2","sim","top",0.117092817187375,0.00716864105841148,0.10311806,0.117068075,0.1312597555
"B2","sim","beta",-0.285369736282156,1.56879006786609,-1.403354805,-0.7168916,4.84186606249999
"B2","sim","nec",2.93708790495,0.902033560552871,1.4782491225,2.81649285,4.96332033
"B2","sim","bot",0,0,0,0,0
"B2","sim","sigma",0.04702553128125,0.00411577271798599,0.0400430922,0.0467249975,0.05609925475
"B3","sim","top",0.1184086652825,0.0019057311347578,0.11463539075,0.118423945,0.12215703925
"B3","sim","beta",-1.13270857178875,0.131906687674862,-1.3672806225,-1.1424302,-0.8469521595
"B3","sim","nec",2.2395427647625,0.271082275039548,1.762490865,2.2038711,2.7921143675
"B3","sim","bot",0,0,0,0,0
"B3","sim","sigma",0.0121929959949625,0.00105280618452255,0.01036289315,0.0121141745,0.014391415825
"C","sim","bot",-0.0357851959901515,0.0215444067148966,-0.0925674967,-0.0309546025,-0.00936281708500002
"C","sim","top",0.11864633495125,0.00217353142994945,0.11442184575,0.11866283,0.1229656555
"C","sim","beta",-1.6788126923775,0.27778742961132,-2.3105181525,-1.6509442,-1.2060245475
"C","sim","nec",1.9727267199525,0.286451786013925,1.3960663775,1.97085175,2.5802830525
"C","sim","sigma",0.0133243481562875,0.00130242248288171,0.011100467175,0.013204895,0.016105409475
"D","sim","bot",-0.0842774663579273,0.0908396455919333,-0.32353068425,-0.0571148885,0.014204585675
"D","sim","top",0.118601844565,0.00213793915067086,0.11446563575,0.11858711,0.12289282475
"D","sim","beta",-1.92346742925738,0.623884973756534,-3.1416246225,-1.9042979,-0.751233091750002
"D","sim","nec",1.95741182414,0.329437280084865,1.3566103925,1.9433493,2.700990555
"D","sim","sigma",0.0132093955856125,0.00130840544935835,0.0109405208,0.013103143,0.0160757991
"E","sim","top",0.117514540977283,0.0024384001792504,0.112360438081414,0.117596983169327,0.121963852480278
"E","sim","beta",-1.11542325535125,0.0964485769404368,-1.3070868225,-1.11459775,-0.92614168275
"E","sim","nec",2.1616092503875,0.309223972625118,1.5846620975,2.1286342,2.8058364275
"E","sim","phi",10.0133181172875,1.85730918122782,6.7847461525,9.8724725,14.034224625
"F","sim","top",0.116761693507125,0.0163146946281621,0.089755970825,0.11502976,0.153711078
"F","sim","beta",-0.4647293836015,0.139056375407562,-0.7462967815,-0.46557838,-0.21814444975
"F","sim","nec",5.05487617873875,1.10071699406438,2.8980847175,5.0163366,7.0135033675
"F","sim","shape",1.17655767900125,0.181461414598095,0.85207930575,1.16529165,1.5598854725
