X,CellDensity,SGR
0,18590,0.121027183
0,17720,0.114180061
0,17490,0.112313681
0,17110,0.109175653
0,19740,0.129601931
0,19200,0.125639537
0,19120,0.125043055
0,19100,0.124893545
0,20740,0.136661526
0,17310,0.110835836
0,19080,0.124743878
0,20660,0.13610942
0,17340,0.111083207
0,15400,0.094133427
0,16200,0.101368246
0,18400,0.119559592
0,17400,0.111576669
0,20450,0.134649909
0,18060,0.116895147
0,19510,0.127927662
0.01,18570,0.120873408
0.01,17970,0.116181454
0.01,15770,0.097525126
0.01,17610,0.113290486
0.01,17090,0.109008568
0.025,15740,0.097253103
0.025,17210,0.110008156
0.025,16190,0.101280035
0.025,15530,0.095334302
0.025,16880,0.107242281
0.05,18320,0.11893712
0.05,18740,0.122175251
0.05,17370,0.111330151
0.05,17450,0.11198659
0.05,18070,0.116974226
0.1,16280,0.102071977
0.1,17280,0.110588035
0.1,16060,0.100128313
0.1,15910,0.09878776
0.1,18560,0.120796458
0.25,20240,0.133175332
0.25,19690,0.129239625
0.25,17730,0.114260657
0.25,19350,0.126751271
0.25,19160,0.125341607
0.5,19050,0.124519083
0.5,18120,0.117368969
0.5,19170,0.125416148
0.5,19180,0.12549065
0.5,20010,0.131542661
1,17910,0.115703671
1,18780,0.12247985
1,19610,0.128658017
1,18290,0.118702992
1,19070,0.124668986
2.5,18480,0.120179364
2.5,17510,0.112476947
2.5,19740,0.129601931
2.5,17690,0.113937998
2.5,18430,0.119792322
5,13570,0.076061136
5,13270,0.072867475
5,14200,0.082544063
5,14300,0.083546574
5,14560,0.086120646
7.5,12240,0.061325108
7.5,11250,0.049276373
7.5,10940,0.045284611
7.5,11990,0.058377064
7.5,12580,0.065239247
10,8460,0.008559379
10,12060,0.059208667
10,7910,-0.001043677
10,8170,0.003576484
10,7830,-0.002495859
15,330,-0.454870878
15,840,-0.32139813
15,450,-0.410563031
15,340,-0.450606169
15,140,-0.577363768
20,1590,-0.230242786
20,680,-0.351585143
20,1000,-0.296490503
20,740,-0.339505516
20,780,-0.331984983
