X,SGR,CellDensity_Final
0,0.164,27380
0,0.157,26070
0,0.175,29480
0,0.175,29670
0,0.172,29010
0,0.17,28490
0,0.162,26940
0,0.177,29920
0,0.178,30170
0,0.164,27450
1,0.154,25610
1,0.156,25880
1,0.157,26020
1,0.152,25090
1,0.169,28360
10,0.165,27590
10,0.165,27650
10,0.17,28460
10,0.172,28880
10,0.164,27300
30,0.158,26160
30,0.153,25340
30,0.167,28030
30,0.158,26220
30,0.175,29500
60,0.155,25660
60,0.151,24940
60,0.155,25670
60,0.176,29820
60,0.173,29080
100,0.177,30060
100,0.152,25150
100,0.173,29200
100,0.178,30180
100,0.183,31170
140,0.16,26530
140,0.134,22160
140,0.161,26900
140,0.16,26540
140,0.163,27250
200,0.152,25240
200,0.156,25860
200,0.16,26600
200,0.152,25220
200,0.153,25260
280,0.101,17610
280,0.098,17290
280,0.119,19930
280,0.115,19440
280,0.115,19450
360,0.083,15530
360,0.09,16330
360,0.084,15590
360,0.093,16670
360,0.095,16860
420,0.054,12660
420,0.046,12020
420,0.052,12510
420,0.054,12640
420,0.045,11930
600,-0.055,5900
600,-0.048,6210
600,-0.024,7350
600,-0.042,6490
600,-0.033,6890
1000,-0.294,1110
1000,-0.28,1220
1000,-0.31,990
1000,-0.297,1090
1000,-0.303,1040
