x,CellDensity,SGR
0,239610,1.375166577
0,286890,1.435195332
0,255780,1.396934943
0,321660,1.473327405
0,316260,1.467683929
0,300660,1.450822396
0,323190,1.474909171
0,315230,1.466596553
0,276220,1.422561593
0,333170,1.485046666
0,224360,1.353246344
0,270200,1.415216518
0,273550,1.41932385
0,235490,1.369385193
0,281020,1.428304323
0,259200,1.401362364
0,317400,1.468883312
0,339790,1.491604969
0,300550,1.450700419
0,234290,1.367682264
0.01,279710,1.426746827
0.01,281890,1.429334684
0.01,280280,1.427425411
0.01,260110,1.402530582
0.01,333360,1.485236705
0.025,270900,1.416078959
0.025,250280,1.38968914
0.025,316730,1.468178935
0.025,307490,1.458309898
0.025,284430,1.432324769
0.05,225770,1.355334637
0.05,234990,1.368676696
0.05,307790,1.458634954
0.05,275890,1.422163121
0.05,320500,1.472123135
0.1,268270,1.412827021
0.1,258090,1.39993183
0.1,321390,1.473047489
0.1,290590,1.439466822
0.1,309130,1.46008301
0.25,221950,1.34964642
0.25,234620,1.368151437
0.25,300170,1.450278703
0.25,237120,1.37168449
0.25,298200,1.448083844
0.5,298740,1.448686919
0.5,240710,1.376693339
0.5,256910,1.398404319
0.5,224410,1.353320621
0.5,286580,1.434834953
1,271730,1.417098685
1,291050,1.439994067
1,322700,1.474403409
1,284790,1.432746398
1,319210,1.470778774
2.5,221750,1.349345917
2.5,232100,1.364551814
2.5,256640,1.398053818
2.5,243950,1.381150138
2.5,220720,1.347794019
5,46120,0.825911275
5,41220,0.788470235
5,36210,0.745274151
5,41360,0.789600453
5,50980,0.859306842
7.5,0,0
7.5,30,-1.62002359
7.5,10,-1.986227686
7.5,0,0
7.5,10,-1.986227686
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
15,0,0
15,0,0
15,0,0
15,0,0
15,0,0
20,0,0
20,10,-1.986227686
20,0,0
20,0,0
20,0,0
