x,SGR,CellDensity
0,0.923,49860
0,0.954,54600
0,0.936,51740
0,0.954,54580
0,0.951,54230
0,0.984,59750
0,1.009,64440
0,0.922,49670
0,0.896,45890
0,0.977,58580
0.1,0.907,47410
0.1,0.86,41280
0.1,0.994,61600
0.1,0.867,42110
0.1,0.966,56630
1,0.92,49420
1,0.957,55230
1,0.9,46510
1,0.926,50240
1,0.999,62570
10,0.864,41760
10,0.856,40680
10,0.985,60060
10,0.895,45770
10,0.976,58360
30,0.87,42480
30,0.87,42480
30,0.937,51960
30,0.992,61320
30,1.034,69410
60,0.904,47000
60,0.864,41690
60,0.958,55360
60,0.93,50870
60,0.933,51320
100,0.38,9770
100,0.389,10030
100,0.734,28240
100,0.753,29950
100,0.672,23480
140,0.253,6680
140,0.224,6110
140,0.168,5170
140,0.214,5930
140,0.053,3660
200,0.044,3570
200,0.045,3580
200,0.076,3920
200,0.064,3780
200,-0.056,2640
280,-0.096,2340
280,-0.091,2380
280,-0.129,2120
280,-0.12,2180
280,-0.112,2230
400,-0.357,1070
400,-0.376,1010
400,-0.561,580
400,-0.539,620
400,-0.345,1110
600,-0.646,450
600,-0.792,290
600,-0.624,480
600,-0.749,330
600,-0.87,230
1000,0,0
1000,0,0
1000,0,0
1000,-1.147,100
1000,0,0
